"simulation_step","vehicles","alternative_routes_used"
"1","0","0"
"2","0","9"
"3","0","30"
"4","25","52"
"5","67","89"
"6","115","133"
"7","162","198"
"8","202","408"
"9","265","645"
"10","315","908"
"11","359","1093"
"12","410","1308"
"13","468","1575"
"14","494","1880"
"15","518","2182"
"16","530","2506"
"17","543","2807"
"18","550","3032"
"19","552","3186"
"20","564","3361"
"21","571","3461"
"22","574","3554"
"23","584","3648"
"24","589","3701"
"25","596","3750"
"26","599","3780"
"27","601","3808"
"28","601","3835"
"29","603","3858"
"30","605","3880"
"31","608","3895"
"32","610","3917"
"33","610","3934"
"34","612","3950"
"35","612","3959"
"36","612","3966"
"37","612","3972"
"38","612","3978"
"39","612","3983"
"40","612","3989"
"41","612","3994"
"42","613","3998"
"43","614","4001"
"44","614","4005"
"45","614","4008"
"46","615","4012"
"47","615","4015"
"48","615","4019"
"49","615","4022"
"50","615","4026"
"51","617","4029"
"52","617","4033"
"53","617","4035"
"54","617","4038"
"55","619","4040"
"56","619","4043"
"57","619","4045"
"58","620","4048"
"59","620","4049"
"60","620","4049"
"61","620","4049"
"62","621","4049"
"63","621","4049"
"64","621","4049"
"65","621","4049"
"66","621","4049"
"67","623","4049"
"68","623","4049"
"69","623","4049"
"70","623","4049"
"71","624","4049"
"72","624","4049"
"73","625","4049"
"74","626","4049"
"75","626","4049"
"76","626","4049"
"77","626","4049"
"78","626","4049"
"79","627","4049"
"80","627","4049"
"81","627","4049"
"82","627","4049"
"83","627","4049"
"84","628","4049"
"85","628","4049"
"86","628","4049"
"87","629","4049"
"88","629","4049"
"89","629","4049"
"90","629","4049"
"91","629","4049"
"92","629","4049"
"93","631","4049"
"94","631","4049"
"95","631","4049"
"96","631","4049"
"97","631","4049"
"98","631","4049"
"99","631","4049"
"100","631","4049"
"101","631","4049"
"102","632","4049"
"103","633","4049"
"104","633","4049"
"105","634","4049"
"106","634","4049"
"107","634","4049"
"108","635","4049"
"109","635","4049"
"110","635","4049"
"111","635","4049"
"112","635","4049"
"113","635","4049"
"114","635","4049"
"115","636","4049"
"116","636","4049"
"117","636","4049"
"118","636","4049"
"119","636","4049"
"120","636","4049"
"121","636","4049"
"122","636","4049"
"123","636","4049"
"124","637","4049"
"125","638","4049"
"126","638","4049"
"127","638","4049"
"128","638","4049"
"129","638","4049"
"130","638","4049"
"131","638","4049"
"132","638","4049"
"133","638","4049"
"134","638","4049"
"135","638","4049"
"136","638","4049"
"137","638","4049"
"138","638","4049"
"139","638","4049"
"140","638","4049"
"141","638","4049"
"142","638","4049"
"143","638","4049"
"144","639","4049"
"145","639","4049"
"146","639","4049"
"147","639","4049"
"148","639","4049"
"149","639","4049"
"150","639","4049"
"151","639","4049"
"152","639","4049"
"153","639","4049"
"154","639","4049"
"155","639","4049"
"156","639","4049"
"157","639","4049"
"158","639","4049"
"159","639","4049"
"160","639","4049"
"161","639","4049"
"162","639","4049"
"163","639","4049"
"164","639","4049"
"165","639","4049"
"166","639","4049"
"167","639","4049"
"168","639","4049"
"169","639","4049"
"170","639","4049"
"171","639","4049"
"172","639","4049"
"173","639","4049"
"174","639","4049"
"175","639","4049"
"176","639","4049"
"177","639","4049"
"178","639","4049"
"179","639","4049"
"180","639","4049"
"181","639","4049"
"182","639","4049"
"183","639","4049"
"184","639","4049"
"185","639","4049"
"186","639","4049"
"187","639","4049"
"188","639","4049"
"189","639","4049"
"190","639","4049"
"191","639","4049"
"192","639","4049"
"193","639","4049"
"194","639","4049"
"195","639","4049"
"196","639","4049"
"197","639","4049"
"198","639","4049"
"199","639","4049"
"200","639","4049"
"201","639","4049"
"202","639","4049"
"203","639","4049"
"204","639","4049"
"205","639","4049"
"206","639","4049"
"207","639","4049"
"208","639","4049"
"209","639","4049"
"210","639","4049"
"211","639","4049"
"212","639","4049"
"213","639","4049"
"214","639","4049"
"215","639","4049"
"216","639","4049"
"217","639","4049"
"218","639","4049"
"219","639","4049"
"220","639","4049"
"221","639","4049"
"222","639","4049"
"223","639","4049"
"224","639","4049"
"225","639","4049"
"226","639","4049"
"227","639","4049"
"228","639","4049"
"229","639","4049"
"230","639","4049"
"231","639","4049"
"232","639","4049"
"233","639","4049"
"234","639","4049"
"235","639","4049"
"236","639","4049"
"237","639","4049"
"238","639","4049"
"239","639","4049"
"240","639","4049"
"241","639","4049"
"242","639","4049"
"243","639","4049"
"244","639","4049"
"245","639","4049"
"246","639","4049"
"247","639","4049"
"248","639","4049"
"249","639","4049"
"250","639","4049"
"251","639","4049"
"252","639","4049"
"253","639","4049"
"254","639","4049"
"255","639","4049"
"256","639","4049"
"257","639","4049"
"258","639","4049"
"259","639","4049"
"260","639","4049"
"261","639","4049"
"262","639","4049"
"263","639","4049"
"264","639","4049"
"265","639","4049"
"266","639","4049"
"267","639","4049"
"268","639","4049"
"269","639","4049"
"270","639","4049"
"271","639","4049"
"272","639","4049"
"273","639","4049"
"274","639","4049"
"275","639","4049"
"276","639","4049"
"277","639","4049"
"278","639","4049"
"279","639","4049"
"280","639","4049"
"281","639","4049"
"282","639","4049"
"283","639","4049"
"284","639","4049"
"285","639","4049"
"286","639","4049"
"287","639","4049"
"288","639","4049"
"289","639","4049"
"290","639","4049"
"291","639","4049"
"292","639","4049"
"293","639","4049"
"294","639","4049"
"295","639","4049"
"296","639","4049"
"297","639","4049"
"298","639","4049"
"299","639","4049"
"300","639","4049"
"301","639","4049"
"302","639","4049"
"303","639","4049"
"304","639","4049"
"305","639","4049"
"306","639","4049"
"307","639","4049"
"308","639","4049"
"309","639","4049"
"310","639","4049"
"311","639","4049"
"312","639","4049"
"313","639","4049"
"314","639","4049"
"315","639","4049"
"316","639","4049"
"317","639","4049"
"318","639","4049"
"319","639","4049"
"320","639","4049"
"321","639","4049"
"322","639","4049"
"323","639","4049"
"324","639","4049"
"325","639","4049"
"326","639","4049"
"327","639","4049"
"328","639","4049"
"329","639","4049"
"330","639","4049"
"331","639","4049"
"332","639","4049"
"333","639","4049"
"334","639","4049"
"335","639","4049"
"336","639","4049"
"337","639","4049"
"338","639","4049"
"339","639","4049"
"340","639","4049"
"341","639","4049"
"342","639","4049"
"343","639","4049"
"344","639","4049"
"345","639","4049"
"346","639","4049"
"347","639","4049"
"348","639","4049"
"349","639","4049"
"350","639","4049"
"351","639","4049"
"352","639","4049"
"353","639","4049"
"354","639","4049"
"355","639","4049"
"356","639","4049"
"357","639","4049"
"358","639","4049"
"359","639","4049"
"360","639","4049"
"361","639","4049"
"362","639","4049"
"363","639","4049"
"364","639","4049"
"365","639","4049"
"366","639","4049"
"367","639","4049"
"368","639","4049"
"369","639","4049"
"370","639","4049"
"371","639","4049"
"372","639","4049"
"373","639","4049"
"374","639","4049"
"375","639","4049"
"376","639","4049"
"377","639","4049"
"378","639","4049"
"379","639","4049"
"380","639","4049"
"381","639","4049"
"382","639","4049"
"383","639","4049"
"384","639","4049"
"385","639","4049"
"386","639","4049"
"387","639","4049"
"388","639","4049"
"389","639","4049"
"390","639","4049"
"391","639","4049"
"392","639","4049"
"393","639","4049"
"394","639","4049"
"395","639","4049"
"396","639","4049"
"397","639","4049"
"398","639","4049"
"399","639","4049"
"400","639","4049"
"401","639","4049"
"402","639","4049"
"403","639","4049"
"404","639","4049"
"405","639","4049"
"406","639","4049"
"407","639","4049"
"408","639","4049"
"409","639","4049"
"410","639","4049"
"411","639","4049"
"412","639","4049"
"413","639","4049"
"414","639","4049"
"415","639","4049"
"416","639","4049"
"417","639","4049"
"418","639","4049"
"419","639","4049"
"420","639","4049"
"421","639","4049"
"422","639","4049"
"423","639","4049"
"424","639","4049"
"425","639","4049"
"426","639","4049"
"427","639","4049"
"428","639","4049"
"429","639","4049"
"430","639","4049"
"431","639","4049"
"432","639","4049"
"433","639","4049"
"434","639","4049"
"435","639","4049"
"436","639","4049"
"437","639","4049"
"438","639","4049"
"439","639","4049"
"440","639","4049"
"441","639","4049"
"442","639","4049"
"443","639","4049"
"444","639","4049"
"445","639","4049"
"446","639","4049"
"447","639","4049"
"448","639","4049"
"449","639","4049"
"450","639","4049"
"451","639","4049"
"452","639","4049"
"453","640","4049"
